method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.898463761189,0.3627440185093631,0.5278879443262389,18.63255491197036,9.028134372608166,-4.870761336775458,-4.870761336775458,,,,,,
quant_diff,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.06370937778041483,0.06344426543289101,0.06908911398016761,3322.2096854298343,3308.385051767482,3602.7431379692257,diff,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,2632.4192392941663,3305.7784904707128,25936.86100702609,2567.896998968941,3225.9917253874073,25391.59509817687,3304.3558790385778,40.747328855406145,40.747328855406145,29999.04571533203,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,diff,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,515.1812985486015,643.748247797842,4715.898724847876,450.6590582233757,563.9614827145372,4170.632815998658,637.864042234627,87.58569705628149,87.58569705628149,29999.04571533203,0.06344426543289101,3308.385051767482,0.0,0.0,0.0
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.06375555444659226,0.06348031474650995,0.06919071539414387,2.0547698570472748,2.045899190889621,2.2299389851361053,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.53539351075199,79.82802276087492,549.1186380828831,0.01315318552618295,0.04125767757000302,3.852729233664439,2.060408796850983,-5.0881187589895305,-5.0881187589895305,29999.02279663086,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.8984637611889,0.3627440185093631,0.5278879443262389,18.632554911970253,9.028134372608166,-4.870761336775497,-4.870761336775497,29999.02279663086,0.06348031474650995,2.045899190889621,0.0,0.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077622,4.340968239077622,,,,,,
quant_diff,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.06377779664685504,0.06352455726661828,0.069222796871314,3325.7774776242145,3312.5719755291457,3609.7142089671806,diff,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,2613.4443746209454,3287.1057697560123,25260.38870465372,2549.9889653504592,3207.1737656406794,24699.561874789895,3285.9714386980786,38.73508286865273,38.73508286865273,30000.800888061523,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,diff,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,507.12767654963164,644.8047451227452,7688.84003441507,443.6722672791452,564.8727410074124,7128.013204551245,640.2083943288919,-11.520395746408024,-11.520395746408024,30000.800888061523,0.06352455726661828,3312.5719755291457,0.0,0.0,0.0
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.06377428388309897,0.06350835112417658,0.06922602002634182,2.0553734857335524,2.0468027718282573,2.2310768137485955,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.497042097604016,79.97588128044201,566.4298306271266,0.041632827117597734,0.04387716510915531,5.603000763301915,2.0447725089797917,3.8806906525427993,3.8806906525427993,30000.80140686035,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077603,4.340968239077603,30000.80140686035,0.06350835112417658,2.0468027718282573,0.0,0.0,0.0
