method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,phase_step_sigma_deg,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,n,rmse_h_nm_mean,rmse_h_nm_std,bias_Sa_nm_mean,bias_Sa_nm_std,bias_Sq_nm_mean,bias_Sq_nm_std,bias_Sz_nm_mean,bias_Sz_nm_std,step_err_nm_mean,step_err_nm_std
classical,0.0,20.0,0.2,0.7,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.9923060411055922,0.00578972917917123,0.019192524031875706,0.005448792888768486,0.024222100051491734,0.006651928418401912,0.6122474953568522,1.158621243065727,-1.2762760977244374,1.8937876152886266
classical,0.0,20.0,0.2,1.0,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.6937910567563181,0.0033673490530619385,0.008972198835765147,0.00631327863848572,0.011601984624370308,0.005748316236288239,0.1837320681415257,0.7940961841938152,-1.279410504852671,1.9057773385042431
classical,0.0,20.0,0.5,0.7,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.6289041006288784,0.004119462710224667,0.00769577199919721,0.0038261642209481425,0.009125700282759431,0.00359999434618568,0.889673748284322,0.4726698798059961,-1.2539143970206361,1.9249992493432946
classical,0.0,20.0,0.5,1.0,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.43966978164401754,0.0024319043908782798,0.003596496728707461,0.002874118504763144,0.004902610802362153,0.0020869040955696014,0.29965199662523706,0.4764741869834028,-1.247451178088093,1.9499782253303029
classical,0.0,20.0,1.0,0.7,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.4446496113381258,0.0013785193319908902,0.001725093655351989,0.003115335485802372,0.0034200249509879583,0.0031813240506812683,0.3361998854344953,0.511557852135918,-1.270866472596468,1.905420563221076
classical,0.0,20.0,1.0,1.0,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,0.3102529672776783,0.0019899717544987153,0.001258301331631508,0.0015429399809710486,0.0013532075980214292,0.0017555378279202427,0.4485310851492487,0.4525737577906876,-1.2608863460857849,1.9129883317526595
classical,0.0,50.0,0.2,0.7,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,3.214325609081404,0.015839368339641093,0.08580837712448632,0.025286031231772955,0.11259011704460424,0.026289410149015653,5.192706250944897,3.0024255567950937,-3.1685977160285725,4.808093332776126
classical,0.0,50.0,0.2,1.0,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,2.2415838084215935,0.011022063999610901,0.036496733319039854,0.013661687793632771,0.04824334505116979,0.018382010996679406,2.8861260495865606,3.070302890075544,-3.118223964779598,4.740721454591711
classical,0.0,50.0,0.5,0.7,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,2.0297366668021244,0.005944896934445498,0.02925840955240226,0.009788247298871774,0.035841876750635715,0.009201634031419506,2.1408973269203604,2.407798909589045,-3.142651652255606,4.830805180162212
classical,0.0,50.0,0.5,1.0,rayleigh,1.0,532.0,810.0,809.0,655.2899999999507,0.0,0.0,0.0,0,1.5,psi4,10,1.4229148036914971,0.008340923005073574,0.014444743766049253,0.010157087527070152,0.014719507262587597,0.008553076932314272,0.5542486961819783,1.47331882592436,-3.1927816105547526,4.840359760770502
