method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
classical,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.268997192383,0.7737730205101766,0.548723342083133,1.310173028336669,32.75784707806075,23.230320587127885,55.466456661612035,-,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,219.48783491856025,286.19402097768705,2060.178219204394,154.96559459333443,206.40725589438213,1514.9123103551751,279.8318035974467,-398.7673549017495,-398.7673549017495,,,,,,
quant_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.268997192383,0.20725557815282453,0.19815911382483176,0.2651845447049462,10807.615975655353,10333.268823846964,13828.39847975889,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,8648.661193438904,10906.631757295518,91713.15522193906,8584.13895311368,10826.844992212213,91167.88931308984,10905.757000476402,-314.13707805490856,-314.13707805490856,5999.634918212891,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,15999.268997192383,0.7737730205101766,0.548723342083133,1.310173028336669,32.75784707806075,23.230320587127885,55.466456661612035,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,1624.4857678086976,2036.963149286374,15463.806988242482,1559.9635274834716,1957.176384203069,14918.541079393264,2032.994316296313,-134.8424160193655,-134.8424160193655,5999.634918212891,0.19815911382483176,10333.268823846964,0.0,0.0,0.0
quant_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,15999.268997192383,0.20794427685706834,0.19928844096438902,0.26611257968886476,6.701810308768089,6.422842447313376,8.576509326474795,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.67292531334208,79.9842459534352,551.4938912400658,0.15068498811628128,0.19748087013028423,6.2279823908471625,6.737758881617484,-4.102597980916043,-4.102597980916043,5999.566009521484,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,15999.268997192383,0.7737730205101766,0.548723342083133,1.310173028336669,32.75784707806075,23.230320587127885,55.466456661612035,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,69.38972386804579,86.29013247620112,668.4022641741021,4.867483542819984,6.503367392896203,123.1363553248835,34.83079458149046,-5.376945403977313,-5.376945403977313,5999.566009521484,0.19928844096438902,6.422842447313376,0.0,0.0,0.0
classical,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.63525390625,0.7638711259388348,0.5489363563642904,1.2937216762422397,32.33864824383772,23.239338592489453,54.76998513591665,-,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,202.72423843431775,264.4074151916407,2147.3695454254603,139.26882916383136,184.47541107630786,1586.5427155616355,257.6095201534255,156.91822742533367,156.91822742533367,,,,,,
quant_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.63525390625,0.20841248541279073,0.1993149388130661,0.2676661199784816,10867.9444333818,10393.540845083913,13957.803501375613,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,8560.493154910375,10853.654605482807,110484.57778254394,8497.03774563989,10773.722601367474,109923.75095268013,10853.306264548935,161.0977113836066,161.0977113836066,6000.399230957031,nan,nan,0.0,0.0,0.0
hybrid_diff,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.016737834412269944,80000.0,16000.0,16000.63525390625,0.7638711259388348,0.5489363563642904,1.2937216762422397,32.33864824383772,23.239338592489453,54.76998513591665,diff,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,1626.323348305433,2050.365587351332,17040.229406240687,1562.8679390349466,1970.4335832359993,16479.402576376862,2048.930356757333,70.4983377119841,70.4983377119841,6000.399230957031,0.1993149388130661,10393.540845083913,0.0,0.0,0.0
quant_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,16000.63525390625,0.2084555240534044,0.1991411379840738,0.2677568018538603,6.718287231251937,6.418095037829885,8.629500758707605,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.712955194137564,80.20151974028556,570.2739163892763,0.2575459236511457,0.2695156249527034,9.447086525451581,6.742190810026844,3.7623280605162104,3.7623280605162104,6000.41259765625,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,0.2,0.7,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.016737834412269944,80000.0,16000.0,16000.63525390625,0.7638711259388348,0.5489363563642904,1.2937216762422397,32.33864824383772,23.239338592489453,54.76998513591665,noon2,simple,0.6,0.08983412170841489,30000.0,6000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,68.79090424432164,86.42853170923475,696.1702970937533,5.335494973835228,6.496527593901889,135.3434672299286,35.37242872389031,2.673519378718861,2.673519378718861,6000.41259765625,0.1991411379840738,6.418095037829885,0.0,0.0,0.0
