scenario,scenario_label,sample_reflectivity,sample_visibility_scale,step_nm,method,abs_step_err_mean_nm,abs_step_err_std_nm
high_return,High return / high visibility,1.0,1.0,100.0,quant_diff,50.228850205422404,28.008469977066497
high_return,High return / high visibility,1.0,1.0,100.0,hybrid_diff,48.04496073893535,24.263679390499966
high_return,High return / high visibility,1.0,1.0,100.0,quant_noon2,88.88294622917763,108.09796845434978
high_return,High return / high visibility,1.0,1.0,100.0,hybrid_noon2,114.47149470130134,141.18922074022694
high_return,High return / high visibility,1.0,1.0,200.0,classical,270.8200170221989,8.071770894377279
high_return,High return / high visibility,1.0,1.0,200.0,quant_diff,40.66951618720434,28.600159902747254
high_return,High return / high visibility,1.0,1.0,200.0,hybrid_diff,38.39526151567925,30.904482555708555
high_return,High return / high visibility,1.0,1.0,200.0,quant_noon2,207.50185527862587,8.089844403957077
high_return,High return / high visibility,1.0,1.0,200.0,hybrid_noon2,263.1775391264089,27.998328957153127
high_return,High return / high visibility,1.0,1.0,300.0,classical,271.0086041025769,8.197604908953684
high_return,High return / high visibility,1.0,1.0,300.0,quant_diff,70.1496698928067,45.3982003317166
high_return,High return / high visibility,1.0,1.0,300.0,hybrid_diff,45.923289820539146,40.520850054111015
high_return,High return / high visibility,1.0,1.0,300.0,quant_noon2,288.542731446289,110.61921727252457
high_return,High return / high visibility,1.0,1.0,300.0,hybrid_noon2,337.23501435912385,110.62812751458378
high_return,High return / high visibility,1.0,1.0,400.0,classical,430.5597350586792,136.48887393312717
high_return,High return / high visibility,1.0,1.0,400.0,quant_diff,53.97241426425593,29.84381279844005
high_return,High return / high visibility,1.0,1.0,400.0,hybrid_diff,42.77907267521491,26.14641782202778
high_return,High return / high visibility,1.0,1.0,400.0,quant_noon2,409.98509721939115,8.160134227970952
high_return,High return / high visibility,1.0,1.0,400.0,hybrid_noon2,443.5375988819695,63.66307515253561
high_return,High return / high visibility,1.0,1.0,600.0,classical,536.8146055674176,7.862043043536497
high_return,High return / high visibility,1.0,1.0,600.0,quant_diff,44.67414424911255,35.87380435290852
high_return,High return / high visibility,1.0,1.0,600.0,hybrid_diff,39.60622162846583,17.443061770079282
high_return,High return / high visibility,1.0,1.0,600.0,quant_noon2,612.4495869055842,8.213124293859918
high_return,High return / high visibility,1.0,1.0,600.0,hybrid_noon2,536.8172051902449,7.866219304998571
high_return,High return / high visibility,1.0,1.0,800.0,classical,803.0202539589943,7.87289595909853
high_return,High return / high visibility,1.0,1.0,800.0,quant_diff,69.64925274005694,45.61632587044688
high_return,High return / high visibility,1.0,1.0,800.0,hybrid_diff,52.38572762423055,20.211863220826164
high_return,High return / high visibility,1.0,1.0,800.0,quant_noon2,815.0298984402459,8.137544018469468
high_return,High return / high visibility,1.0,1.0,800.0,hybrid_noon2,803.0202539589943,7.872895959098478
