method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.898463761189,0.3627440185093631,0.5278879443262389,18.63255491197036,9.028134372608166,-4.870761336775458,-4.870761336775458,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.06375555444659226,0.06348031474650995,0.06919071539414387,2.0547698570472748,2.045899190889621,2.2299389851361053,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.53539351075199,79.82802276087492,549.1186380828831,0.01315318552618295,0.04125767757000302,3.852729233664439,2.060408796850983,-5.0881187589895305,-5.0881187589895305,29999.02279663086,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.32406616211,0.2139042565354728,0.20392353908180116,0.27629338729532826,9.055682660420619,8.633146842538082,11.696939916220225,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,0,64.5222403252258,79.78676508330491,545.2659088492186,64.88498434373517,80.31465302763115,563.8984637611889,0.3627440185093631,0.5278879443262389,18.632554911970253,9.028134372608166,-4.870761336775497,-4.870761336775497,29999.02279663086,0.06348031474650995,2.045899190889621,0.0,0.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077622,4.340968239077622,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.06377428388309897,0.06350835112417658,0.06922602002634182,2.0553734857335524,2.0468027718282573,2.2310768137485955,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.497042097604016,79.97588128044201,566.4298306271266,0.041632827117597734,0.04387716510915531,5.603000763301915,2.0447725089797917,3.8806906525427993,3.8806906525427993,30000.80140686035,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.45687866211,0.2150217458681168,0.20544385102082197,0.2768850524726012,9.10299181142459,8.697509575134468,11.7219881886267,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,1,63.45540927048641,79.93200411533286,560.8268298638247,63.80920447557693,80.37031090056192,562.7237468216583,0.35379520509051443,0.43830678522906114,1.8969169578336118,9.109847391444081,4.340968239077603,4.340968239077603,30000.80140686035,0.06350835112417658,2.0468027718282573,0.0,0.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.214125298866164,0.20502275927606847,0.2761161673279983,9.065040534984124,8.679682565643526,11.689437270825396,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.80522777181062,80.3342347243152,518.3099381781736,0.46004130935924464,0.6457595188960534,9.126055887469466,9.059450007869547,7.667885670259639,7.667885670259639,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.06371291283109547,0.06343913575540064,0.06911690205457087,2.053395565710007,2.044572038292337,2.2275600641696247,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.36961400743274,79.72209485023107,509.86762664125325,0.024427544981370043,0.033619644811937285,0.6837443505490909,2.059111339851794,7.868350758496778,7.868350758496778,29999.8994140625,nan,nan,0.0,0.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79999.93563842773,0.214125298866164,0.20502275927606847,0.2761161673279983,9.065040534984124,8.679682565643526,11.689437270825396,noon2,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,2,64.34518646245138,79.68847520541914,509.18388229070416,64.80522777181064,80.3342347243152,518.3099381781736,0.46004130935925786,0.6457595188960534,9.126055887469466,9.059450007869547,7.6678856702596105,7.6678856702596105,29999.8994140625,0.06343913575540064,2.044572038292337,0.0,0.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.85850524902,0.21374882425485628,0.20415900231008294,0.2755658424481627,9.049102401424157,8.643115228899596,11.666139148793404,-,simple,0.6,0.12833445958344983,30000.0,30000.0,1.0,1e-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,64.99905059938528,80.43754062288401,520.4381986886406,0.3002291713265679,0.4412677800826156,23.440883156814415,9.087937488225768,2.509107346401248,2.509107346401248,,,,,,
